<?xml version="1.0" encoding="UTF-8"?>Title| MMSID| ISSN | ISSN 
3 Biotech [electronic resource].|99157417870001452|2190572X|2190572X|
@Nalyses : revue de critique et de theÌ&#x81;orie litteÌ&#x81;raire.|99147123940001452|17159261|17159261|
A &amp; A case reports.|99161941799101452|23257237|23257237|
AACN advanced critical care.|99161941802501452|15597768|15597768|
AACR education book.|99161787686201452|19436475|19436475|
AANA journal [electronic resource].|99157601450001452|00946354|00946354|
ACCNS journal of community nurses - Australian Council of Community Nursing Services Inc|99157495720001452|1325670X|1325670X|
ACG case reports journal.|99161821512601452|23263253|23263253|
ACS applied materials &amp; interfaces.|99158485040001452|19448244|19448244|
ACS biomaterials science &amp; engineering.|99161828452201452|23739878|23739878|
ACS chemical biology.|99158485160001452|15548929|15548929|
ACS chemical neuroscience.|99158484950001452|19487193|19487193|
ACS combinatorial science [electronic resource].|99158484790001452|21568952|21568952|
ACS infectious diseases.|99161828452101452|23738227|23738227|
ACS nano [electronic resource].|99158485010001452|19360851|19360851|
ACS synthetic biology.|99158485080001452|21615063|21615063|
AIDS [electronic resource].|99157622710001452|02699370|02699370|
AIDS and behavior.|99158517770001452|10907165|10907165|
AIDS care [electronic resource].|99157806300001452|09540121|09540121|
AIDS education and prevention [electronic resource].|99157805720001452|08999546|08999546|
AIDS patient care and STDs [electronic resource].|99157751970001452|10872914|10872914|
AIDS policy &amp; law.|99161898914901452|08871493|08871493|
AIDS research and human retroviruses [electronic resource].|99157751620001452|08892229|08892229|
AIDS reviews.|99157478870001452|11396121|11396121|
AJP reports.|99161766513101452|21576998|21576998|
ALTEX, alternatives to animal experimentation [electronic resource].|99158670640001452|1868596X|1868596X|
AMT events.|99158193600001452|07469217|07469217|
ANZ journal of surgery [electronic resource].|99157804060001452|14451433|14451433|
AORN journal.|99158193640001452|00012092|00012092|
APMIS [electronic resource].|99157803170001452|09034641|09034641|
ARS Medica Tomitana|99161835160301452|12239666|12239666|
ARYA atherosclerosis.|99157405210001452|17353955|17353955|
ASAIO journal [electronic resource].|99158506370001452|10582916|10582916|
ASRT scanner.|99158191800001452|01613863|01613863|
Abdominal radiology.|99161927456801452|2366004X|2366004X|
Abstracta : linguagem, mente e acÌ§aÌƒo.|99155326060001452|18079792|18079792|
Abstracta [electronic resource] : linguagem, mente e aÃ§Ã£o.|99157355190001452|18079792|18079792|
Academic emergency medicine [electronic resource].|99157792480001452|10696563|10696563|
Academic medicine [electronic resource].|99157626030001452|10402446|10402446|
Academic pediatrics [electronic resource].|99158435230001452|18762859|18762859|
Academic psychiatry [electronic resource] : official journal of the American Association of Directors of Psychiatric Residency Training and the Association for Academic Psychiatry.|99161854562001452|10429670|10429670|
Academic radiology [electronic resource].|99158432580001452|10766332|10766332|
Access : the newsmagazine of the American Dental Hygienists' Association.|99158193690001452|10500758|10500758|
Accident analysis and prevention [electronic resource].|99161967471601452|00014575|00014575|
Accountability in research [electronic resource].|99157888250001452|08989621|08989621|
Accounts of chemical research [electronic resource].|99158484970001452|00014842|00014842|
Acta Cardiologica Sinica = Zhonghua Minguo xin zang xue hui za zhi.|99161945134101452|10116842|10116842|
Acta Facultatis Medicae Naissensis.|99157365020001452|03516083|03516083|
Acta Facultatis Pharmaceuticae / Universitas Comeniana.|99157405560001452|03012298|03012298|
Acta Phlebologica|99157467850001452|1593232X|1593232X|
Acta Poloniae pharmaceutica [electronic resource].|99157454770001452|00016837|00016837|
Acta UrolÃ³gica Portuguesa|99161967427001452|23414022|23414022|
Acta anaesthesiologica Scandinavica [electronic resource].|99157805870001452|00015172|00015172|
Acta anaesthesiologica Taiwanica [electronic resource] : official journal of the Taiwan Society of Anesthesiologists.|99161967432701452|18754597|18754597|
Acta anaesthesiologica belgica.|99161857915401452|00015164|00015164|
Acta angiologica : journal of Polish Angiological Society : journal of Polish Society for Vascular Surgery = pismo Polskiego Towarzystwa Angiologicznego : pismo Polskiego Towarzystwa Chirurgii Naczyniowej.|99157807270001452|1234950X|1234950X|
Acta biochimica Polonica.|99157331760001452|0001527X|0001527X|
Acta biochimica et biophysica Sinica.|99157770200001452|16729145|16729145|
Acta biologica Szegediensis.|99157482010001452|1588385X|1588385X|
Acta biomaterialia.|99161967515401452|17427061|17427061|
Acta biotheoretica [electronic resource].|99158517380001452|00015342|00015342|
Acta chimica Slovenica [electronic resource].|99157331690001452|13180207|13180207|
Acta chirurgica belgica.|99161950242301452|00015458|00015458|
Acta cientÃ­fica venezolana.|99157320420001452|00015504|00015504|
Acta cirÃºrgica brasileira / publication of the Sociedade Brasileira para o Desenvolvimento da Pesquisa em Cirurgia.|99157348840001452|01028650|01028650|
Acta clinica Croatica.|99161907661901452|03539466|03539466|
Acta crystallographica. Section A, Foundations and advances.|99161810309601452|20532733|20532733|
Acta crystallographica. Section B, Structural science, crystal engineering and materials.|99158647760001452|20525192|20525192|
Acta crystallographica. Section C, Structural chemistry.|99161779589201452|20532296|20532296|
Acta crystallographica. Section D, Structural biology|99161933726301452|20597983|20597983|
Acta crystallographica. Section F, Structural biology and crystallization communications.|99158437540001452|17443091|17443091|
Acta crystallographica. Section F, Structural biology communications.|99161771336301452|2053230X|2053230X|
Acta cytologica.|99157770970001452|00015547|00015547|
Acta dermato-venereologica [electronic resource].|99157392550001452|00015555|00015555|
Acta dermato-venereologica. Supplementum.|99157452210001452|03658341|03658341|
Acta dermatovenerologica Alpina, Pannonica, et Adriatica.|99157496550001452|13184458|13184458|
Acta dermatovenerologica Alpina, Pannonica, et Adriatica.|99125345040001452|13184458|13184458|
Acta diabetologica [electronic resource].|99158785320001452|09405429|09405429|
Acta gastroenterolÃ³gica latinoamericana.|99158670970001452|03009033|03009033|
Acta haematologica polonica : [organ Polskiego Towarzystwa HematologÃ³w i TransfuzjologÃ³w i Instytutu Hematologii].|99161967491701452|00015814|00015814|
Acta haematologica.|99157770990001452|00015792|00015792|
Acta histochemica [electronic resource].|99161967505201452|00651281|00651281|
Acta informatica medica : AIM : journal of the Society for Medical Informatics of Bosnia &amp; Herzegovina : Ä&#x8d;asopis DruÅ¡tva za medicinsku informatiku BiH.|99157807280001452|03538109|03538109|
Acta medica (Hradec KrÃ¡lovÃ©).|99157345570001452|12114286|12114286|
Acta medica Bulgarica : AMB.|99161835161301452|03241750|03241750|
Acta medica Indonesiana.|99160050960001452|01259326|01259326|
Acta medica Okayama.|99157331660001452|0386300X|0386300X|
Acta medica academica.|99157420290001452|18401848|18401848|
Acta medica iranica.|99157344540001452|00446025|00446025|
Acta medica martiniana = Journal for biomedical sciences, clinical medicine, and nursing / Jessinii Facultas Medicina Martinensis, Universitatis Comenianae.|99157399260001452|13358421|13358421|
Acta medica nagasakiensia.|99157345920001452|00016055|00016055|
Acta medico-historica adriatica : AMHA.|99157496080001452|13344366|13344366|
Acta myologica : myopathies and cardiomyopathies : official journal of the Mediterranean Society of Myology / edited by the Gaetano Conte Academy for the the study of striated muscle diseases.|99161771336201452|11282460|11282460|
Acta mÃ©dica portuguesa.|99157370400001452|0870399X|0870399X|
Acta neurobiologiae experimentalis.|99157349520001452|00651400|00651400|
Acta neurochirurgica.|99158784930001452|00016268|00016268|
Acta neurologica Scandinavica [electronic resource].|99157806000001452|00016314|00016314|
Acta neuropathologica.|99158517460001452|00016322|00016322|
Acta neuropsychiatrica.|99157805010001452|09242708|09242708|
Acta neuropsychologica : the official journal of the Polish Neuropsychological Society.|99161900957701452|17307503|17307503|
Acta obstetricia et gynecologica Scandinavica.|99157806030001452|00016349|00016349|
Acta odontologica scandinavica [electronic resource].|99158477110001452|00016357|00016357|
Acta odontolÃ³gica latinoamericana : AOL.|99161912740601452|03264815|03264815|
Acta of bioengineering and biomechanics / WrocÅ‚aw University of Technology.|99157805490001452|1509409X|1509409X|
Acta oncologica.|99157520020001452|0284186X|0284186X|
Acta ophthalmologica.|99157792440001452|1755375X|1755375X|
Acta orthopaedica belgica.|99157480770001452|00016462|00016462|
Acta orthopaedica et traumatologica turcica.|99157359840001452|1017995X|1017995X|
Acta orthopaedica.|99157357760001452|17453674|17453674|
Acta ortopÃ©dica mexicana|99161912735901452|23064102|23064102|
Acta oto-laryngologica [electronic resource].|99157806230001452|00016489|00016489|
Acta oto-laryngologica. Supplement.|99157807130001452|03655237|03655237|
Acta otorhinolaryngologica Italica : organo ufficiale della SocietÃ  italiana di otorinolaringologia e chirurgia cervico-facciale.|99157363280001452|0392100X|0392100X|
Acta pharmaceutica : a quarterly journal of Croatian Pharmaceutical Society and Slovenian Pharmaceutical Society, dealing with all branches of pharmacy and allied sciences.|99157353300001452|13300075|13300075|
Acta pharmaceutica Sinica. B.|99157413410001452|22113835|22113835|
Acta pharmacologica Sinica (monthly).|99157454400001452|16714523|16714523|
Acta physiologica.|99157805380001452|17481708|17481708|
Acta psychiatrica Scandinavica [electronic resource].|99157806260001452|0001690X|0001690X|
Acta psychologica.|99161967631501452|00016918|00016918|
Acta pÃ¦diatrica [electronic resource].|99157806420001452|08035253|08035253|
Acta radiologica short reports.|99157637680001452|20479816|20479816|
Acta radiologica.|99157805950001452|02841851|02841851|
Acta reumatolÃ³gica portuguesa.|99161976147301452|0303464X|0303464X|
Acta scientiarum polonorum. Technologia alimentaria.|99157357870001452|16440730|16440730|
Acta scientiarum. Biological sciences.|99157369280001452|16799283|16799283|
Acta scientiarum. Health sciences.|99157369270001452|16799291|16799291|
Acta stomatologica croatica.|99157356080001452|00017019|00017019|
Acta tropica.|99157765570001452|0001706X|0001706X|
Acta veterinaria scandinavica.|99157212090001452|0044605X|0044605X|
Actas dermo-sifiliogrÃ¡ficas.|99161935361801452|00017310|00017310|
Actas espaÃ±olas de psiquiatrÃ­a.|99157622090001452|11399287|11399287|
Actas urologicas espaÃ±olas.|99157320080001452|02104806|02104806|
