Title,MMSID,ISSN,ISSN1,,
3 Biotech.,99157417870001400,2190-572X,2190-5738,,
A and A case reports.,99161941799101400,,2325-7237,,
AACN advanced critical care.,99161941802501400,1559-7768,1559-7776,,
AACN bold voices.,99158210430001400,1948-7088,1948-7096,,
AACN clinical issues.,99158506410001400,1079-0713,1538-9812,,
AACR education book.,99161787686201400,,1943-6475,,
AACR meeting abstracts online.,,,1948-3279,,
AANA journal.,99157601450001400,0094-6354,2162-5239,,
AAOHN journal: official journal of the American Association of Occupational Health Nurses.,99158192810001400,1938-2448,1938-2448,,
AAPS advances in the pharmaceutical sciences series., ,2210-7371,2210-738X,,
AAPS journal.,,,1550-7416,,
AAPS pharmSci.,99157500320001400,,1522-1059,,
AAPS PharmSciTech.,,,1530-9932,,
Abdominal radiology.,99161927456801400,2366-004X,2366-0058,,
"ABNF journal : official journal of Association of Black Nursing Faculty in Higher Education, Inc.",99157805410001400,1046-7041,,,
"Abstracta: linguagem, mente e aÁ„o.",99157355190001400,,1807-9792,,
Academic emergency medicine.,99157792480001400,1069-6563,1553-2712,,
Academic journal of Second Military medical University.,,0258-879X,,,
Academic medicine : journal of the Association of American medical Colleges.,99157626030001400,1040-2446,1938-808X,,
Academic pediatrics.,99158435230001400,1876-2859,1876-2867,,
Academic psychiatry : the journal of the American Association of Directors of Psychiatric Residency Training and the Association for Academic Psychiatry.,99161854562001400,1042-9670,1545-7230,,
Academic radiology.,99158432580001400,1076-6332,1878-4046,,
Access: the newsmagazine of the American Dental Hygienists' Association.,99158193690001400,,1050-0758,,
Accident analysis and prevention.,99161967471601400,0001-4575,1879-2057,,
ACCNS journal of community nurses/Australian Council of Community Nursing Services Inc.,99157495720001400,,1325-670X,,
Accountability in research.,99157888250001400,0898-9621,1545-5815,,
Accounts of chemical research.,99158484970001400,0001-4842,1520-4898,,
ACG case reports journal.,99161821512601400,,2326-3253,,
ACS applied materials & interfaces.,99158485040001400,1944-8244,1944-8252,,
ACS biomaterial science and engineering.,99161828452201400,,2373-9878,,
ACS chemical biology.,99158485160001400,1554-8929,1554-8937,,
ACS chemical neuroscience.,99158484950001400,,1948-7193,,
ACS combinatorial science.,99158484790001400,2156-8952,2156-8944,,
ACS infectious diseases.,99161828452101400,,2373-8227,,
ACS medicinal chemistry letters.,,,1948-5875,,
ACS nano.,99158485010001400,1936-0851,1936-086X,,
ACS synthetic biology.,99158485080001400,,2161-5063,,
ACSM's health & fitness journal..,99158507330001400,1091-5397,1536-593X,,
Acta academiae medicinae sinicae.,,1000-503X,,,
Acta anaesthesiologica belgica.,99161857915401400,0001-5164,,,
Acta anaesthesiologica scandinavica. Supplement., ,0515-2720,1600-5430,,
Acta anaesthesiologica scandinavica. Nordisk anaestesiologisk forening.,99157805870001400,0001-5172,1399-6576,,
Acta anaesthesiologica taiwanica.,99161967432701400,1875-4597,1875-452X,,
Acta anatomica sinica.,,0529-1356,,,
Acta angiologica.,99157807270001400,1234-950X,1644-3276,,
Acta biochimica et biophysica sinica.,99157770200001400,1672-9145,1745-7270,,
Acta biochimica polonica.,99157331760001400,0001-527X,1734-154X,,
Acta biologica hungarica., ,0236-5383,1588-256X,,
Acta biologica szegediensis.,99157482010001400,1588-385X,1588-4082,,
Acta biomaterialia.,99161967515401400,1742-7061,1878-7568,,
Acta biomedica.,,0392-4203,,,
Acta biotechnologica.,99158527520001400,0138-4988,1521-3846,,
Acta biotheoretica.,99158517380001400,0001-5342,1572-8358,,
Acta cardiologica sinica.,99161945134101400,1011-6842,,,
Acta cardiologica., ,0001-5385,0373-7934,,
Acta chimica slovenica.,99157331690001400,1318-0207,1580-3155,,
Acta chirurgiae orthopaedicae et traumatologiae cechoslovaca.,,0001-5415,,,
Acta chirurgiae plasticae., ,0001-5423,1805-4404,,
Acta chirurgica belgica.,99161950242301400,0001-5458,,,
Acta chirurgica Iugoslavica.,,0354-950X,,,
Acta cientifica venezolana.,99157320420001400,0001-5504,,,
Acta cirurgica brasileira.,99157348840001400,0102-8650,1678-2674,,
Acta clinica belgica: international journal of clinical and laboratory medicine.,99161950242201400,1784-3286,2295-3337,,
Acta clinica croatica. Supplement.,,0353-9474,,,
Acta clinica croatica.,99161907661901400,0353-9466,1333-9451,,
Acta criminologiae et medicinae legalis japonica.,,0302-0029,,,
"Acta crystallographica. Section B, Structural science, crystal engineering and materials.",99158647760001400,2052-5192,2052-5206,,
"Acta crystallographica. Section A, Foundations and advances.",99161810309601400,,2053-2733,,
"Acta crystallographica. Section B, structural science,  Section B, structural science. (continued by Acta crystallographica. Section B, Crystal engineering and materials).",99157770920001400,0108-7681,1600-5740,,
"Acta crystallographica. Section C, Structural chemistry.",99161779589201400,,2053-2296,,
"Acta crystallographica. Section D, Biological crystallography. (continued by Acta crystallographica. Section D, structural biology).",99157771000001400,0907-4449,1399-0047,,
"Acta crystallographica. Section D, Structural biology.",99161933726301400,,2059-7983,,
"Acta crystallographica. Section E, Structure reports online. (continued by Acta crystallographica. Section E, Crystallographic communications).",,,1600-5368,,
"Acta crystallographica. Section E, Structure reports online. (continued by Acta crystallographica. Section E, Crystallographic communications).",99157370460001400,,1600-5368,,
"Acta crystallographica. Section F, Structural biology and crystallization communications. (continued by Acta crystallographica. Section F, Structural biology communications).",99158437540001400,,1744-3091,,
"Acta crystallographica. Section F, Structural biology communications.",99161771336301400,,2053-230X,,
Acta cytologica.,99157770970001400,0001-5547,1938-2650,,
Acta dermato-venereologica.,99157392550001400,0001-5555,1651-2057,,
Acta dermato-venereologica. Supplement.,99157452210001400,0365-8341,,,
"Acta dermatovenerologica alpina, pannonica et adriatica.",99157496550001400,1318-4458,1581-2979,,
Acta dermatovenerologica croatica.,,1330-027X,,,
Acta diabetologica.,99158785320001400,0940-5429,1432-5233,,
Acta endoscopica., ,0240-642X,1958-5454,,
Acta facultatis medicae naissensis.,99157365020001400,0351-6083,2217-2521,,
Acta facultatis pharmaceuticae Universitatis Comenianae.,99157405560001400,0301-2298,1338-6786,,
