Title	MMSID	ISSN	ISSN1	ISSN		
3 Biotech.	99157417870001452	2190-572X	2190-5738	2190-572X		
A and A case reports.	99161941799101452		2325-7237			
AACN advanced critical care.	99161941802501452	1559-7768	1559-7776	1559-7768		
AACN bold voices.	99158210430001452	1948-7088	1948-7096	1948-7088		
AACN clinical issues.	99158506410001452	1079-0713	1538-9812	1079-0713		
AACR education book.	99161787686201452		1943-6475			
AACR meeting abstracts online.			1948-3279			
AANA journal.	99157601450001452	0094-6354	2162-5239	0094-6354		
AAOHN journal: official journal of the American Association of Occupational Health Nurses.	99158192810001452	1938-2448	1938-2448	1938-2448		
AAPS advances in the pharmaceutical sciences series.	 	2210-7371	2210-738X	2210-7371		
AAPS journal.			1550-7416			
AAPS pharmSci.	99157500320001452		1522-1059			
AAPS PharmSciTech.			1530-9932			
Abdominal radiology.	99161927456801452	2366-004X	2366-0058	2366-004X		
"ABNF journal : official journal of Association of Black Nursing Faculty in Higher Education, Inc."	99157805410001452	1046-7041		1046-7041		
"Abstracta: linguagem, mente e a?ÅÉ??o."	99157355190001452		1807-9792			
Academic emergency medicine.	99157792480001452	1069-6563	1553-2712	1069-6563		
Academic journal of Second Military medical University.		0258-879X		0258-879X		
Academic medicine : journal of the Association of American medical Colleges.	99157626030001452	1040-2446	1938-808X	1040-2446		
Academic pediatrics.	99158435230001452	1876-2859	1876-2867	1876-2859		
Academic psychiatry : the journal of the American Association of Directors of Psychiatric Residency Training and the Association for Academic Psychiatry.	99161854562001452	1042-9670	1545-7230	1042-9670		
Academic radiology.	99158432580001452	1076-6332	1878-4046	1076-6332		
Access: the newsmagazine of the American Dental Hygienists' Association.	99158193690001452		1050-0758			
Accident analysis and prevention.	99161967471601452	0001-4575	1879-2057	0001-4575		
ACCNS journal of community nurses/Australian Council of Community Nursing Services Inc.	99157495720001452		1325-670X			
Accountability in research.	99157888250001452	0898-9621	1545-5815	0898-9621		
Accounts of chemical research.	99158484970001452	0001-4842	1520-4898	0001-4842		
ACG case reports journal.	99161821512601452		2326-3253			
ACS applied materials & interfaces.	99158485040001452	1944-8244	1944-8252	1944-8244		
ACS biomaterial science and engineering.	99161828452201452		2373-9878			
ACS chemical biology.	99158485160001452	1554-8929	1554-8937	1554-8929		
ACS chemical neuroscience.	99158484950001452		1948-7193			
ACS combinatorial science.	99158484790001452	2156-8952	2156-8944	2156-8952		
ACS infectious diseases.	99161828452101452		2373-8227			
ACS medicinal chemistry letters.			1948-5875			
ACS nano.	99158485010001452	1936-0851	1936-086X	1936-0851		
ACS synthetic biology.	99158485080001452		2161-5063			
ACSM's health & fitness journal..	99158507330001452	1091-5397	1536-593X	1091-5397		
Acta academiae medicinae sinicae.		1000-503X		1000-503X		
Acta anaesthesiologica belgica.	99161857915401452	0001-5164		0001-5164		
Acta anaesthesiologica scandinavica. Supplement.	 	0515-2720	1600-5430	0515-2720		
Acta anaesthesiologica scandinavica. Nordisk anaestesiologisk forening.	99157805870001452	0001-5172	1399-6576	0001-5172		
Acta anaesthesiologica taiwanica.	99161967432701452	1875-4597	1875-452X	1875-4597		
Acta anatomica sinica.		0529-1356		0529-1356		
Acta angiologica.	99157807270001452	1234-950X	1644-3276	1234-950X		
Acta biochimica et biophysica sinica.	99157770200001452	1672-9145	1745-7270	1672-9145		
Acta biochimica polonica.	99157331760001452	0001-527X	1734-154X	0001-527X		
Acta biologica hungarica.	 	0236-5383	1588-256X	0236-5383		
Acta biologica szegediensis.	99157482010001452	1588-385X	1588-4082	1588-385X		
Acta biomaterialia.	99161967515401452	1742-7061	1878-7568	1742-7061		
Acta biomedica.		0392-4203		0392-4203		
Acta biotechnologica.	99158527520001452	0138-4988	1521-3846	0138-4988		
Acta biotheoretica.	99158517380001452	0001-5342	1572-8358	0001-5342		
Acta cardiologica sinica.	99161945134101452	1011-6842		1011-6842		
Acta cardiologica.	 	0001-5385	0373-7934	0001-5385		
Acta chimica slovenica.	99157331690001452	1318-0207	1580-3155	1318-0207		
Acta chirurgiae orthopaedicae et traumatologiae cechoslovaca.		0001-5415		0001-5415		
Acta chirurgiae plasticae.	 	0001-5423	1805-4404	0001-5423		
Acta chirurgica belgica.	99161950242301452	0001-5458		0001-5458		
Acta chirurgica Iugoslavica.		0354-950X		0354-950X		
Acta cientifica venezolana.	99157320420001452	0001-5504		0001-5504		
Acta cirurgica brasileira.	99157348840001452	0102-8650	1678-2674	0102-8650		
Acta clinica belgica: international journal of clinical and laboratory medicine.	99161950242201452	1784-3286	2295-3337	1784-3286		
Acta clinica croatica. Supplement.		0353-9474		0353-9474		
Acta clinica croatica.	99161907661901452	0353-9466	1333-9451	0353-9466		
Acta criminologiae et medicinae legalis japonica.		0302-0029		0302-0029		
"Acta crystallographica. Section B, Structural science, crystal engineering and materials."	99158647760001452	2052-5192	2052-5206	2052-5192		
"Acta crystallographica. Section A, Foundations and advances."	99161810309601452		2053-2733			
"Acta crystallographica. Section B, structural science,  Section B, structural science. (continued by Acta crystallographica. Section B, Crystal engineering and materials)."	99157770920001452	0108-7681	1600-5740	0108-7681		
"Acta crystallographica. Section C, Structural chemistry."	99161779589201452		2053-2296			
"Acta crystallographica. Section D, Biological crystallography. (continued by Acta crystallographica. Section D, structural biology)."	99157771000001452	0907-4449	1399-0047	0907-4449		
"Acta crystallographica. Section D, Structural biology."	99161933726301452		2059-7983			
